fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig,yoy_growth,boom_growth_2020_2022,cooling_delta_2024_vs_2022,yoy_volatility,cluster,cluster_name
12015,Charlotte County,2021,278155.5814086481,Florida,Charlotte County,9723,194982,50.77297852,0.2105063208370303,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
12015,Charlotte County,2022,365293.72221656254,Florida,Charlotte County,9086,203113,45.647395722,0.313271228880706,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
12015,Charlotte County,2023,369800.7490566041,Florida,Charlotte County,4949,207085,24.129810482,0.0123380900517353,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
12015,Charlotte County,2024,353546.362236466,Florida,Charlotte County,5981,212122,28.534828855,-0.0439544453644416,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
12017,Citrus County,2020,175601.68909551823,Florida,Citrus County,1415,154569,,,0.5369730975733848,-0.2464493342469991,0.1278475934650147,1,Migration boom markets
12017,Citrus County,2021,215431.77813898888,Florida,Citrus County,6336,158193,40.516431024,0.226820648757001,0.5369730975733848,-0.2464493342469991,0.1278475934650147,1,Migration boom markets
12017,Citrus County,2022,269895.0720282571,Florida,Citrus County,6392,162586,39.852982895,0.2528099352832267,0.5369730975733848,-0.2464493342469991,0.1278475934650147,1,Migration boom markets
12017,Citrus County,2023,278965.11034046725,Florida,Citrus County,5962,166836,36.196732459,0.0336057944446666,0.5369730975733848,-0.2464493342469991,0.1278475934650147,1,Migration boom markets
12017,Citrus County,2024,280739.49611037015,Florida,Citrus County,5163,170174,30.640040355,0.0063606010362275,0.5369730975733848,-0.2464493342469991,0.1278475934650147,1,Migration boom markets
12019,Clay County,2020,230668.2140494348,Florida,Clay County,682,218956,,,0.4462056569972117,-0.2380764161620443,0.1171913184896284,2,Balanced growth markets
12019,Clay County,2021,268358.05042208266,Florida,Clay County,3947,222671,17.874812908,0.163394148292016,0.4462056569972117,-0.2380764161620443,0.1171913184896284,2,Balanced growth markets
12019,Clay County,2022,333593.6760477363,Florida,Clay County,4082,226797,18.163695747,0.2430917407659238,0.4462056569972117,-0.2380764161620443,0.1171913184896284,2,Balanced growth markets
