fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig
12033,Escambia County,2022,264114.8847624846,Florida,Escambia County,575,324227,1.7755270613
12033,Escambia County,2023,274894.3484975334,Florida,Escambia County,2612,328034,8.0090638563
12033,Escambia County,2024,278590.10620871896,Florida,Escambia County,1822,331275,5.5269987214
12035,Flagler County,2020,253855.63191921636,Florida,Flagler County,1052,116032,
12035,Flagler County,2021,305376.8611300716,Florida,Flagler County,6184,120996,52.179489343
12035,Flagler County,2022,382065.8351825169,Florida,Flagler County,6261,126974,50.498044118
12035,Flagler County,2023,378302.6776989933,Florida,Flagler County,5111,131892,39.487611351
12035,Flagler County,2024,368107.16510868305,Florida,Flagler County,5077,136744,37.798359118
12037,Franklin County,2020,299800.9455694294,Florida,Franklin County,38,12474,
12037,Franklin County,2021,360242.57264584396,Florida,Franklin County,-208,12194,-16.8639533
12037,Franklin County,2022,430939.5858580005,Florida,Franklin County,383,12491,31.03099048
12037,Franklin County,2023,426630.78848552174,Florida,Franklin County,188,12628,14.968748756
12037,Franklin County,2024,444743.3537155588,Florida,Franklin County,392,12979,30.616628266
12039,Gadsden County,2020,128090.22922935068,Florida,Gadsden County,-313,43408,
12039,Gadsden County,2021,146681.44292484238,Florida,Gadsden County,142,43502,3.2677482453
12039,Gadsden County,2022,172891.90356017448,Florida,Gadsden County,27,43389,0.6214682763
12039,Gadsden County,2023,187685.7753985004,Florida,Gadsden County,597,44100,13.647429963
12039,Gadsden County,2024,199069.38293074514,Florida,Gadsden County,-88,44151,-1.994311679
12041,Gilchrist County,2020,176041.44617972244,Florida,Gilchrist County,27,17885,
12041,Gilchrist County,2021,213700.79959736575,Florida,Gilchrist County,503,18319,27.786984864
12041,Gilchrist County,2022,254220.79850003988,Florida,Gilchrist County,686,19027,36.737535479
12041,Gilchrist County,2023,271131.8672631861,Florida,Gilchrist County,575,19735,29.668231773
12041,Gilchrist County,2024,286760.3438501093,Florida,Gilchrist County,337,20233,16.863490793
12043,Glades County,2020,147318.75302084282,Florida,Glades County,-16,12079,
12043,Glades County,2021,176857.94429774597,Florida,Glades County,302,12269,24.806965665
12043,Glades County,2022,223390.59875297593,Florida,Glades County,252,12496,20.351302241
12043,Glades County,2023,241665.5307356018,Florida,Glades County,356,12839,28.103414249
12043,Glades County,2024,255696.66717811188,Florida,Glades County,318,13132,24.488852951
12045,Gulf County,2020,262962.6301071725,Florida,Gulf County,91,14259,
12045,Gulf County,2021,308494.43193321343,Florida,Gulf County,342,14462,23.815326764
12045,Gulf County,2022,379893.67786573776,Florida,Gulf County,877,15302,58.93025131
12045,Gulf County,2023,407726.451727554,Florida,Gulf County,531,15757,34.19298754
12045,Gulf County,2024,418708.22582030785,Florida,Gulf County,203,15876,12.834697942
12047,Hamilton County,2020,114008.84066773865,Florida,Hamilton County,-212,13736,
12047,Hamilton County,2021,140149.4350083235,Florida,Hamilton County,-569,13073,-42.4484315
12047,Hamilton County,2022,174341.77495932873,Florida,Hamilton County,175,13216,13.313553197
12047,Hamilton County,2023,185928.88297290858,Florida,Hamilton County,497,13721,36.900916954
12047,Hamilton County,2024,194172.30108529024,Florida,Hamilton County,621,14334,44.270183568
12049,Hardee County,2020,132527.92986710093,Florida,Hardee County,-24,25341,
12049,Hardee County,2021,158097.0641240709,Florida,Hardee County,-96,25328,-3.789299177
