fips,STNAME,CTYNAME,year,domestic_mig,population,rdomestic_mig
12049,Florida,Hardee County,2022,288,25692,11.289690318
12049,Florida,Hardee County,2023,79,25944,3.0598807034
12049,Florida,Hardee County,2024,-56,26068,-2.153349227
12051,Florida,Hendry County,2020,62,39723,
12051,Florida,Hendry County,2021,294,40221,7.355148604
12051,Florida,Hendry County,2022,756,41725,18.451175164
12051,Florida,Hendry County,2023,1354,44111,31.548534414
12051,Florida,Hendry County,2024,856,46130,18.971420973
12053,Florida,Hernando County,2020,1667,195629,
12053,Florida,Hernando County,2021,7218,200727,36.421802622
12053,Florida,Hernando County,2022,7530,207169,36.921175986
12053,Florida,Hernando County,2023,6873,213415,32.68312632
12053,Florida,Hernando County,2024,5344,218150,24.765678403
12055,Florida,Highlands County,2020,407,101340,
12055,Florida,Highlands County,2021,3305,103286,32.302835417
12055,Florida,Highlands County,2022,3231,105954,30.88319633
12055,Florida,Highlands County,2023,2608,108151,24.361878518
12055,Florida,Highlands County,2024,2047,109778,18.785934869
12057,Florida,Hillsborough County,2020,5514,1466320,
12057,Florida,Hillsborough County,2021,11703,1484844,7.9311078612
12057,Florida,Hillsborough County,2022,15886,1523839,10.560102211
12057,Florida,Hillsborough County,2023,3458,1557313,2.2446150011
12057,Florida,Hillsborough County,2024,-11188,1581426,-7.128977593
12059,Florida,Holmes County,2020,-48,19569,
12059,Florida,Holmes County,2021,-276,19136,-14.26172329
12059,Florida,Holmes County,2022,336,19324,17.472698908
12059,Florida,Holmes County,2023,427,19662,21.905299338
12059,Florida,Holmes County,2024,304,19876,15.377611412
12061,Florida,Indian River County,2020,1108,160452,
12061,Florida,Indian River County,2021,4892,163903,30.164480276
12061,Florida,Indian River County,2022,4396,167698,26.513792178
12061,Florida,Indian River County,2023,3172,170487,18.758963289
12061,Florida,Indian River County,2024,1946,172139,11.359324745
12063,Florida,Jackson County,2020,-137,47106,
12063,Florida,Jackson County,2021,353,47138,7.4911930733
12063,Florida,Jackson County,2022,1259,48294,26.385279571
12063,Florida,Jackson County,2023,553,48731,11.399123937
12063,Florida,Jackson County,2024,1353,49980,27.413358187
12065,Florida,Jefferson County,2020,-61,14402,
12065,Florida,Jefferson County,2021,175,14497,12.111145714
12065,Florida,Jefferson County,2022,591,15090,39.949978031
12065,Florida,Jefferson County,2023,481,15547,31.399941248
12065,Florida,Jefferson County,2024,422,15921,26.82089742
12067,Florida,Lafayette County,2020,1,8230,
12067,Florida,Lafayette County,2021,-192,7957,-23.72274047
12067,Florida,Lafayette County,2022,-140,7786,-17.78568253
12067,Florida,Lafayette County,2023,417,8192,52.19677056
12067,Florida,Lafayette County,2024,461,8640,54.77661597
12069,Florida,Lake County,2020,2941,386238,
12069,Florida,Lake County,2021,12486,396414,31.906901151
12069,Florida,Lake County,2022,14304,410981,35.432471095
12069,Florida,Lake County,2023,14224,426782,33.957097652
12069,Florida,Lake County,2024,15627,444204,35.883469998
12071,Florida,Lee County,2020,5781,765566,
12071,Florida,Lee County,2021,27903,791013,35.851697858
12071,Florida,Lee County,2022,28652,826567,35.425759468
12071,Florida,Lee County,2023,7891,844226,9.4458140536
12071,Florida,Lee County,2024,5000,860959,5.8644663189
12073,Florida,Leon County,2020,1719,293961,
12073,Florida,Leon County,2021,1370,296057,4.6439261175
12073,Florida,Leon County,2022,531,298181,1.7871627193
12073,Florida,Leon County,2023,-1905,299024,-6.379718857
12073,Florida,Leon County,2024,-1730,300488,-5.771360707
12075,Florida,Levy County,2020,229,43065,
12075,Florida,Levy County,2021,1464,44169,33.564894422
12075,Florida,Levy County,2022,1305,45291,29.175050302
12075,Florida,Levy County,2023,1442,46665,31.362825699
12075,Florida,Levy County,2024,1156,47765,24.483744573
12077,Florida,Liberty County,2020,-137,7806,
12077,Florida,Liberty County,2021,-428,7294,-56.68874172
12077,Florida,Liberty County,2022,305,7609,40.931356103
12077,Florida,Liberty County,2023,146,7771,18.985695709
12077,Florida,Liberty County,2024,159,7955,20.221289584
12079,Florida,Madison County,2020,-88,17838,
12079,Florida,Madison County,2021,170,17943,9.5022497974
12079,Florida,Madison County,2022,112,17978,6.2359065728
12079,Florida,Madison County,2023,458,18322,25.23415978
12079,Florida,Madison County,2024,195,18364,10.630758327
12081,Florida,Manatee County,2020,2578,401644,
12081,Florida,Manatee County,2021,13948,413805,34.209374222
